Country Name;Country Code;Indicator Name;Indicator Code;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;Área selvática (% del área de tierra);AG.LND.FRST.ZS;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333;2.333333333
;AFE;Área selvática (% del área de tierra);AG.LND.FRST.ZS;42.97524988;42.79917984;42.6231098;40.26968999;40.1032704;39.93685081;39.77043121;39.60401162;39.43759203;39.27117244;39.10475285;38.9039801;38.70320734;38.50243459;37.84064677;37.64215276;37.44382127;37.24532518;37.04708444;36.84863229;36.64823508;36.40896202;31.89065409;31.68063494;31.4706339;31.26041973;31.03968156;30.82431626;30.61151182;30.39162586;30.17425244;29.95519379;29.7372051
Afganistán;AFG;Área selvática (% del área de tierra);AG.LND.FRST.ZS;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994;1.852781994
;AFW;Área selvática (% del área de tierra);AG.LND.FRST.ZS;22.77690813;22.65874567;22.54058321;22.42242075;22.3042583;22.18609584;22.06793338;21.94977092;21.83160846;21.713446;21.59528355;21.50315634;21.41102914;21.31890194;21.22677474;21.13464754;21.04252034;20.95039313;20.85826593;20.76613873;20.67401153;20.58605538;20.49809922;20.41014307;20.32218692;20.23423077;20.15261016;20.07132718;19.9860996;19.90123011;19.81678398;19.73203653;19.64748777
Angola;AGO;Área selvática (% del área de tierra);AG.LND.FRST.ZS;63.57807011;63.4534074;63.32874469;63.20408198;63.07941927;62.95475656;62.83009385;62.70543114;62.58076843;62.45610572;62.33144301;61.88621882;61.44099463;60.99577043;60.55054624;60.10532205;59.66009786;59.21487367;58.76964947;58.32442528;57.87920109;57.4339761;56.9887511;56.54352611;56.09830111;55.65307612;55.20784471;54.76262934;54.31740595;53.87217454;53.42695115;52.98172239;52.53649723
Albania;ALB;Área selvática (% del área de tierra);AG.LND.FRST.ZS;28.78832117;28.71715328;28.6459854;28.57481752;28.50364964;28.43248175;28.36131387;28.29014599;28.2189781;28.14781022;28.07664234;28.12324818;28.16985401;28.21645985;28.26306569;28.30967153;28.35627737;28.40288321;28.44948905;28.49609489;28.54270073;28.59465328;28.64660584;28.69855839;28.75051095;28.8024635;28.80218978;28.79206204;28.7919708;28.7919708;28.7919708;28.7919708;28.7919708
Andorra;AND;Área selvática (% del área de tierra);AG.LND.FRST.ZS;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319;34.04255319
El mundo árabe;ARB;Área selvática (% del área de tierra);AG.LND.FRST.ZS;1.786076798;1.779710346;1.773340738;1.766974298;1.760607857;1.754241426;1.747874986;1.741508546;1.735142105;1.728775665;1.722409225;1.720479793;1.718550361;1.716648431;1.714720494;1.712789505;1.710850906;1.708918411;1.706987443;1.705438994;1.703510329;1.697432027;2.956405437;2.937936997;2.919451747;2.900938039;2.883323261;2.863942909;2.844420469;2.826620788;2.808895261;2.791120845;2.773553927
Emiratos Árabes Unidos;ARE;Área selvática (% del área de tierra);AG.LND.FRST.ZS;3.44973247;3.540453393;3.631174317;3.721895241;3.812616164;3.903337088;3.994058012;4.084778936;4.175499859;4.266220783;4.356941707;4.368023092;4.379104478;4.390185863;4.401267249;4.412348634;4.42343002;4.434511405;4.445592791;4.456674176;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562;4.467755562
Argentina;ARG;Área selvática (% del área de tierra);AG.LND.FRST.ZS;12.86371493;12.79699199;12.73026905;12.66354611;12.59682317;12.53010023;12.46337729;12.39665435;12.32993141;12.26320847;12.19648554;12.08087142;11.9652573;11.84964318;11.73402906;11.61841495;11.50280083;11.38718671;11.27157259;11.15595848;11.04034436;10.9587129;10.87708144;10.79544998;10.71381852;10.63218706;10.60039683;10.55983688;10.52037315;10.48017861;10.44071488;10.40076395;10.3611378
Armenia;ARM;Área selvática (% del área de tierra);AG.LND.FRST.ZS;;;11.74260625;11.73526519;11.72792413;11.72058307;11.71324201;11.70590095;11.69855989;11.69121883;11.68387777;11.67657183;11.66926589;11.66195996;11.65465402;11.64734809;11.64004215;11.63273621;11.62543028;11.61812434;11.61081841;11.60351247;11.59620653;11.5889006;11.58159466;11.57428872;11.56691254;11.55953635;11.55216017;11.54478398;11.5374078;11.53003161;11.52265543
Samoa Americana;ASM;Área selvática (% del área de tierra);AG.LND.FRST.ZS;90.35;90.18;90.01;89.84;89.67;89.5;89.33;89.16;88.99;88.82;88.65;88.5;88.35;88.2;88.05;87.9;87.75;87.6;87.45;87.3;87.15;87;86.85;86.7;86.55;86.4;86.25;86.1;85.95;85.8;85.65;85.5;85.35
Antigua y Barbuda;ATG;Área selvática (% del área de tierra);AG.LND.FRST.ZS;22.97727273;22.82727273;22.67727273;22.52727273;22.37727273;22.22727273;22.07727273;21.92727273;21.77727273;21.62727273;21.47727273;21.325;21.17272727;21.02045455;20.86818182;20.71590909;20.56363636;20.41136364;20.25909091;20.10681818;19.95454545;19.80454545;19.65454545;19.50454545;19.35454545;19.20454545;19.04545455;18.90909091;18.75;18.59090909;18.45454545;18.30295455;18.16159091
